Country,Rate
China,9.96
India,31.41
United States,15.21
Indonesia,53.33
Pakistan,39.61
Brazil,31.28
Nigeria,43.92
Bangladesh,40.08
Mexico,88.93
Ethiopia,28.27
Philippines,41.44
Egypt,35.2
Turkey,25.33
Iran,17.46
Germany,11.22
Thailand,29.04
France,8.7
Italy,13.68
Tanzania,30.24
South Africa,86.02
Myanmar,41.19
Kenya,19.98
South Korea,16.26
Colombia,19.49
Spain,8.71
Uganda,22.38
Argentina,18.81
Algeria,34.95
Sudan,26.74
Iraq,40.12
Afghanistan,23.82
Poland,10.13
Canada,10.27
Morocco,73.52
Saudi Arabia,17.19
Uzbekistan,26.31
Peru,19.63
Angola,55.71
Malaysia,18.57
Mozambique,28.46
Ghana,45.45
Yemen,30.5
Nepal,33.25
Venezuela,56.83
Madagascar,15.58
Cameroon,45.33
Australia,10.59
Niger,25.99
Sri Lanka,49.34
Burkina Faso,36.05
Mali,34.98
Malawi,28.95
Chile,18.18
Kazakhstan,33.49
Zambia,25.05
Guatemala,70.71
Ecuador,48.24
Syria,12.62
Netherlands,8.35
Senegal,30.75
Cambodia,24.13
Chad,38.84
Somalia,22.7
Zimbabwe,41.8
Guinea,25.08
Rwanda,22.29
Benin,42.66
Burundi,23.45
Tunisia,72.23
Bolivia,20.22
Haiti,48.97
Cuba,12.75
South Sudan,27.99
Jordan,50.43
Portugal,17.72
Azerbaijan,17.78
Sweden,9.6
Honduras,15.54
Hungary,13.3
Tajikistan,15.19
Austria,15.3
Serbia,17.75
Israel,22.85
Togo,32.01
Sierra Leone,51.27
Laos,36.15
Paraguay,45.47
Bulgaria,12.72
Libya,31.77
Lebanon,33.93
Nicaragua,40.19
Kyrgyzstan,9.21
El Salvador,33.62
Turkmenistan,19.97
Denmark,12.35
Congo,33.8
Slovakia,10.36
Oman,48.86
Costa Rica,16.37
Liberia,37.45
New Zealand,11.46
Mauritania,50.44
Panama,36.02
Kuwait,35.06
Croatia,17.33
Georgia,17.31
Eritrea,25.69
Uruguay,15.25
Armenia,28.95
Jamaica,81.22
Qatar,71.59
Namibia,52.77
Gambia,39.32
Botswana,66.64
Gabon,52.63
Lesotho,63.57
Guinea-Bissau,37.28
Latvia,11.88
Bahrain,97.87
Timor-Leste,18.49
Mauritius,167.64
Cyprus,32.54
Djibouti,47.45
Fiji,187.9
Comoros,37.32
Guyana,98.82
Bhutan,47
Montenegro,14.81
Suriname,51.87
Maldives,13.58
Malta,11.59
Belize,117.02
Bahamas,31.73
Vanuatu,65.94
Barbados,59.51
Samoa,83.74
Saint Lucia,59.64
Kiribati,121.35
Micronesia,81.22
Grenada,111.32
Tonga,105.83
Seychelles,19.2
