Country,HeartDisease
China,98.33
India,146.11
United States,86.89
Indonesia,140.88
Pakistan,246.84
Brazil,80.16
Nigeria,117.12
Bangladesh,108.99
Russia,292
Mexico,90.16
Ethiopia,106.06
Philippines,191.79
Egypt,216.82
Turkey,108.59
Iran,170.87
Germany,83.78
Thailand,71.19
Italy,64.95
Tanzania,85.3
South Africa,114.02
Myanmar,78.45
Colombia,97.29
Uganda,65.39
Argentina,106.36
Algeria,110.05
Sudan,227.35
Ukraine,395.73
Iraq,215.95
Afghanistan,263.34
Poland,148.09
Morocco,124.67
Saudi Arabia,174.22
Uzbekistan,325.43
Peru,74.12
Angola,128.73
Malaysia,137.02
Mozambique,77.78
Ghana,155.08
Yemen,298.84
Nepal,158.35
Venezuela,126.76
Madagascar,88.59
Cameroon,124.42
North Korea,109.84
Niger,116.43
Sri Lanka,126.95
Burkina Faso,170.63
Mali,144.2
Romania,212.34
Malawi,85.23
Kazakhstan,182.6
Zambia,85.07
Guatemala,84.3
Syria,256.78
Senegal,112.06
Cambodia,144.95
Chad,124.86
Somalia,68.56
Zimbabwe,77.38
Guinea,115.65
Rwanda,76.86
Benin,151.46
Burundi,78.73
Tunisia,107.16
Bolivia,91.29
Haiti,161.82
Cuba,100.35
South Sudan,73.85
Greece,112.4
Jordan,136.01
Azerbaijan,295.11
Sweden,75.3
Honduras,108.11
Hungary,181.46
Tajikistan,271.42
Belarus,362.19
Austria,94.43
Serbia,118.68
Switzerland,61.81
Togo,145.94
Sierra Leone,188.09
Laos,167.41
Paraguay,100.96
Bulgaria,211.28
Libya,191.96
Lebanon,214.24
Nicaragua,100.18
Kyrgyzstan,388.11
El Salvador,103.39
Turkmenistan,411.1
Singapore,62.1
Finland,86.1
Congo,102.16
Slovakia,155.65
Norway,62.16
Oman,128.07
Costa Rica,72.38
Liberia,110.97
Ireland,71.73
New Zealand,72.29
Mauritania,126.7
Panama,72.53
Kuwait,203.54
Croatia,149.56
Moldova,322.26
Georgia,229.05
Eritrea,93.11
Uruguay,70.98
Mongolia,243.21
Armenia,213.2
Jamaica,64.41
Qatar,101.08
Albania,126.59
Lithuania,234.58
Namibia,116.09
Gambia,142.6
Botswana,107.42
Gabon,98.2
Lesotho,124.75
Slovenia,85.67
Guinea-Bissau,129.92
Latvia,206.28
Bahrain,136.69
Estonia,180.43
Timor-Leste,122.96
Mauritius,115.32
Cyprus,89.18
Djibouti,86.76
Fiji,161.57
Comoros,92.29
Guyana,207.86
Bhutan,151.69
Montenegro,147.91
Suriname,118.55
Maldives,111.46
Malta,103.64
Belize,124.34
Bahamas,86.53
Iceland,80.3
Vanuatu,137.11
Barbados,75.26
Samoa,131.75
Saint Lucia,73.29
Kiribati,124.6
Micronesia,156.8
Grenada,151.92
Tonga,128.72
Seychelles,112.62
