Country,Rate
China,63.1
India,96.92
United States,32.01
Indonesia,36.26
Pakistan,50.61
Brazil,26.57
Nigeria,21.14
Bangladesh,69.07
Russia,14.51
Mexico,27.85
Japan,12.17
Ethiopia,18.56
Philippines,44.52
Egypt,22.61
Turkey,35.63
Iran,18.84
Germany,20.01
Thailand,25.82
United Kingdom,23.66
France,13.15
Italy,17
Tanzania,18.09
South Africa,44.3
Myanmar,61.59
Kenya,19.15
Colombia,36.3
Spain,16.37
Uganda,22.19
Argentina,29.27
Sudan,35.12
Ukraine,11.11
Afghanistan,37.62
Poland,16.16
Canada,19.01
Saudi Arabia,12.41
Peru,17.69
Angola,40.22
Malaysia,23.73
Mozambique,17.81
Ghana,21.09
Yemen,38.97
Nepal,100.75
Venezuela,22.34
Madagascar,34.22
Cameroon,24.85
North Korea,100.37
Australia,18.79
Niger,24.86
Sri Lanka,21.58
Burkina Faso,19.38
Mali,44.55
Romania,18.8
Malawi,22.87
Chile,14.84
Kazakhstan,114.28
Zambia,20.04
Guatemala,21.2
Ecuador,24.07
Syria,11.71
Netherlands,26
Senegal,22.57
Cambodia,34.21
Chad,22.93
Somalia,18.02
Zimbabwe,22.53
Guinea,25.37
Rwanda,25.79
Benin,29.33
Burundi,27.83
Tunisia,23.54
Bolivia,18.42
Belgium,27.11
Haiti,25.53
Cuba,23.3
South Sudan,23
Greece,20.62
Jordan,14.54
Portugal,13.35
Azerbaijan,20.61
Sweden,16.74
Honduras,21.39
Hungary,27.68
Tajikistan,34.61
Austria,17.02
Serbia,23.27
Israel,16.1
Switzerland,15.22
Togo,29.36
Sierra Leone,39.31
Laos,36.62
Paraguay,19.1
Bulgaria,19.79
Libya,22.09
Lebanon,17.28
Nicaragua,22.37
Kyrgyzstan,39.59
El Salvador,13.86
Turkmenistan,16.94
Denmark,31.99
Congo,29.04
Slovakia,11.72
Norway,26.13
Costa Rica,20.42
Liberia,17.35
Ireland,24.92
New Zealand,21.88
Mauritania,19.71
Panama,24.25
Croatia,21.75
Moldova,17.13
Georgia,23.26
Eritrea,27.14
Uruguay,33.57
Mongolia,13.4
Armenia,23.86
Jamaica,15.74
Albania,11.67
Lithuania,11.5
Namibia,43.86
Gambia,29.2
Botswana,42.66
Gabon,26.53
Lesotho,55.25
Slovenia,11.89
Guinea-Bissau,26.93
Bahrain,18.37
Timor-Leste,30.82
Mauritius,30.56
Cyprus,17.85
Djibouti,18.41
Fiji,15.86
Comoros,28.25
Guyana,25.7
Bhutan,71.93
Montenegro,17.6
Luxembourg,20.52
Suriname,13.41
Maldives,26.7
Malta,12.05
Belize,43.36
Iceland,19.71
Vanuatu,36.33
Samoa,26.8
Saint Lucia,24.89
Kiribati,29.31
Micronesia,33.08
Grenada,21.74
Tonga,35.14
Seychelles,19.52
