,Heart Disease,Lung Disease,Diabetes,Population,COVID-19 Cases,COVID-19 Deaths
Afghanistan,263.34,37.62,23.82,"38,928,346","2,335",68
Albania,126.59,11.67,,"2,877,797",782,31
Algeria,110.05,,34.95,"43,851,044","4,154",453
American Samoa,,,,"55,191",,
Andorra,,,,"77,265",745,43
Angola,128.73,40.22,55.71,"32,866,272",30,2
Anguilla,,,,"15,003",3, 
Antigua and Barbuda,,,,"97,929",25,3
Argentina,106.36,29.27,18.81,"45,195,774","4,532",225
Armenia,213.2,23.86,28.95,"2,963,243","2,148",33
Aruba,,,,"106,766",100,2
Australia,,18.79,10.59,"25,499,884","6,780",95
Austria,94.43,17.02,15.3,"9,006,398","15,531",589
Azerbaijan,295.11,20.61,17.78,"10,139,177","1,854",25
Bahamas,86.53,,31.73,"393,244",82,11
Bahrain,136.69,18.37,97.87,"1,701,575","3,170",8
Bangladesh,108.99,69.07,40.08,"164,689,383","8,238",170
Barbados,75.26,,59.51,"287,375",81,7
Belarus,362.19,,,"9,449,323","14,917",93
Belgium,,27.11,,"11,589,623","49,032","7,703"
Belize,124.34,43.36,117.02,"397,628",18,2
Benin,151.46,29.33,42.66,"12,123,200",90,2
Bermuda,,,,"62,278",114,6
Bhutan,151.69,71.93,47,"771,608",7, 
Bolivia,91.29,18.42,20.22,"11,673,021","1,229",66
Bosnia and Herzegovina,,,,"3,280,819","1,781",70
Botswana,107.42,42.66,66.64,"2,351,627",23,1
Brazil,80.16,26.57,31.28,"212,559,417","92,202","6,412"
British Virgin Islands,,,,"30,231",6,1
Brunei ,,,,"437,479",138,1
Bulgaria,211.28,19.79,12.72,"6,948,445","1,555",68
Burkina Faso,170.63,19.38,36.05,"20,903,273",649,44
Burundi,78.73,27.83,23.45,"11,890,784",11,1
Cabo Verde,,,,"555,987",122,1
Cambodia,144.95,34.21,24.13,"16,718,965",122, 
Cameroon,124.42,24.85,45.33,"26,545,863","1,832",61
Canada,,19.01,10.27,"37,742,154","55,061","3,391"
Caribbean Netherlands,,,,"26,223",6, 
Cayman Islands,,,,"65,722",74,1
Central African Republic,,,,"4,829,767",,
Chad,124.86,22.93,38.84,"16,425,864",73,5
Channel Islands,,,,"173,863",538,41
Chile,,14.84,18.18,"19,116,201","17,008",234
China,98.33,63.1,9.96,"1,439,323,776","82,875","4,633"
Colombia,97.29,36.3,19.49,"50,882,891","7,006",314
Comoros,92.29,28.25,37.32,"869,601",1, 
